PlotID,Easting,Northing,Habitat,Park,study,site,hab,roadDist,habi,EDEN,Notes
209,492087,2805287,Mangrove,Everglades National Park,EVER,133,Swamp,24322,Mangrove,0,"get to by boat, S3"
210,493907,2811857,Mangrove,Everglades National Park,EVER,134,Swamp,25088,Mangrove,0,"get to by boat, S4"
211,493989,2811620,Mangrove,Everglades National Park,EVER,135,Swamp,24946,Mangrove,0,"get to by boat, S5"
212,508645,2782196,Mangrove,Everglades National Park,EVER,136,Swamp,91,Mangrove,0,near Flamingo
213,484386,2795991,Mangrove,Everglades National Park,EVER,137,Swamp,16969,Mangrove,0,Big Sable Creek
214,455157,2855440,Mangrove,Everglades National Park,EVER,138,Swamp,6831,Mangrove,0,Called 1654 in BICY database
215,462010,2853293,Mangrove,Everglades National Park,EVER,139,Swamp,2169,Mangrove,0,Called 1622 in BICY database
216,470039,2853520,Mangrove,Everglades National Park,EVER,140,Swamp,5996,Mangrove,0,Called 1626 in BICY Database
217,472787,2836790,Mangrove,Everglades National Park,EVER,141,Swamp,19951,Mangrove,0,Called 1673 in BICY database
218,475275,2845919,Mangrove,Everglades National Park,EVER,142,Swamp,14266,Mangrove,0,Called 1713 in BICY database
219,477848,2838856,Mangrove,Everglades National Park,EVER,143,Swamp,18066,Mangrove,0,Called 1569 in BICY database
220,480777,2842980,Mangrove,Everglades National Park,EVER,144,Swamp,13074,Mangrove,0,Called 1566 in BICY Database
221,482079,2837036,Mangrove,Everglades National Park,EVER,145,Swamp,16398,Mangrove,0,Called 1567 in BICY database
222,486043,2833103,Mangrove,Everglades National Park,EVER,146,Swamp,17554,Mangrove,0,Called 1568 in BICY Database
223,523939,2836447,Slough,Everglades National Park,EVER,147,Marsh,1319,Slough,1,Shark slough; by airboat
224,525558,2836091,Slough,Everglades National Park,EVER,148,Marsh,2632,Slough,1,Shark slough; by airboat
225,525369,2835646,Slough,Everglades National Park,EVER,149,Marsh,2788,Slough,1,Shark slough; by airboat
226,527102,2834476,Slough,Everglades National Park,EVER,150,Marsh,4850,Slough,1,Shark slough; by airboat
227,540119,2807450,Slough,Everglades National Park,EVER,151,Marsh,4,Slough,1,Taylor slough; no airboat
228,539743,2809606,Slough,Everglades National Park,EVER,152,Marsh,153,Slough,1,Taylor slough; no airboat
229,525606,2835434,Slough,Everglades National Park,EVER,,,,,0,Shark slough- Alligator hole by tree island
230,523766,2840097,Slough,Everglades National Park,EVER,,,,,0,Near canal where we caught alligators
231,532814,2848491,Slough,Everglades National Park,EVER,,,,,0,1st plot off of L67 ext.
232,532768,2847779,Slough,Everglades National Park,EVER,,,,,0,Second one down on L-67 ext.
233,532804,2846870,Slough,Everglades National Park,EVER,,,,,0,3rd plot down on L-67 ext.
234,539394,2848313,Slough,Everglades National Park,EVER,,,,,0,Night with guys from Lox
235,536854,2795118,Slough,Everglades National Park,EVER,,,,,0,
236,536130,2798904,Slough,Everglades National Park,EVER,,,,,0,
237,540135,2806655,Slough,Everglades National Park,EVER,,,,,0,
238,523490,2848749,Slough,Everglades National Park,EVER,,,,,0,Beginning of tram road-Short hydro marsh
239,508540,2820725,Slough,Everglades National Park,EVER,153,Marsh,12910,Slough,1,Called 1972 in BICY database
240,508748,2818108,Slough,Everglades National Park,EVER,154,Marsh,13788,Slough,1,Called 1949 in BICY Database
241,509086,2817845,Slough,Everglades National Park,EVER,155,Marsh,13385,Slough,1,Called 1776 in BICY Database
242,511168,2817220,Slough,Everglades National Park,EVER,156,Marsh,11212,Slough,1,Called 2016 in BICY Database
243,512842,2816653,Slough,Everglades National Park,EVER,157,Marsh,9445,Slough,1,Called 1805 in BICY Database
244,514509,2816997,Slough,Everglades National Park,EVER,158,Marsh,8002,Slough,1,Called 1922 in BICY Database
245,515253,2843812,Slough,Everglades National Park,EVER,159,Marsh,2531,Slough,1,Called 1933 in BICY Database
246,517224,2819286,Slough,Everglades National Park,EVER,160,Marsh,7165,Slough,1,Called 2116 in BICY Database
247,517712,2847029,Slough,Everglades National Park,EVER,161,Marsh,2199,Slough,1,Called 1872 in BICY Database
248,519221,2822512,Slough,Everglades National Park,EVER,162,Marsh,9080,Slough,1,Called 2122 in BICY Database
249,519508,2836904,Slough,Everglades National Park,EVER,163,Marsh,4022,Slough,1,Called 2008 in BICY database
250,521401,2837229,Slough,Everglades National Park,EVER,164,Marsh,2102,Slough,1,Called 1975 in BICY Database
251,522758,2827190,Slough,Everglades National Park,EVER,165,Marsh,10507,Slough,1,Called 1909 in BICY database
252,537201,2805698,Building,Everglades National Park,EVER,,,,,0,Banana plantation.
253,541769,2833100,Building,Everglades National Park,EVER,,,,,0,At Chekika.
254,540216,2849229,Building,Everglades National Park,EVER,,,,,0,Frog city.
255,532811,2807951,Building,Everglades National Park,EVER,,,,,0,Hole in donut before first gravel hump
256,536760,2804281,Borrow Pit/Canal,Everglades National Park,EVER,,,,,0,Road/canal on Ingraham Hwy
257,539295,2807340,Borrow Pit/Canal,Everglades National Park,EVER,,,,,0,Pond at royal palm
258,520505,2801082,Borrow Pit/Canal,Everglades National Park,EVER,,,,,0,South side of borrow pit Sissal Pond.
259,520467,2801250,Borrow Pit/Canal,Everglades National Park,EVER,,,,,0,On N side of Sisal Pond.
